Readers,Writers,Dx (s),Dt (ms),Execution Time (ms)
4, 4, 1, 1, 49021.183125
4, 4, 1, 2, 49018.597292
4, 4, 1, 4, 49021.691625
4, 4, 2, 1, 60034.272666
4, 4, 2, 2, 61021.183125
4, 4, 2, 4, 61018.597292
2, 2, 1, 1, 49032.215167
2, 2, 1, 2, 49021.183125
2, 2, 1, 4, 49018.597292
2, 2, 2, 1, 60124.272666
2, 2, 2, 2, 60821.183125
2, 2, 2, 4, 60035.956667
4, 2, 1, 1, 49140.107209
4, 2, 1, 2, 49022.183125
4, 2, 1, 4, 49002.597292
4, 2, 2, 1, 60014.272666
4, 2, 2, 2, 61021.183125
4, 2, 2, 4, 61018.597292
4, 8, 1, 1, 49231.18292
4, 8, 1, 2, 49057.183125
4, 8, 1, 4, 49031.650125
4, 8, 2, 1, 60076.88975
4, 8, 2, 2, 61022.15
4, 8, 2, 4, 61018.59416
